casenew	weighta	P550tpr	P344pr	P425r	A172	A093r	A094r	A121r	SexHRP	A049r	G018r	G019r	Gorx	weightar	maininc	income	expenditure	hhsize
14598	7.14314969149928	366.79695274992	803.88	1	1	1	1	3	1	2	2	1	10	1.36891774621017	0	803.880004882813	366.796966552734	2
14593	7.2553381536385	662.250929795434	1184.99	1	1	1	1	3	1	1	1	1	7	1.39041761438809	0	1184.98999023438	662.250915527344	1
14593	9.92393153610582	428.845012674789	1184.99	1	1	4	4	1	1	2	2	1	7	1.90182854604278	0	1184.98999023438	428.845001220703	2
14592	5.10606701735561	234.760479319653	331.81	1	1	1	2	3	2	1	1	1	11	.97852992801127	0	331.809997558594	234.760482788086	1
14592	3.7806271540257	137.777882395134	140.042	2	2	4	5	1	1	1	1	1	3	.724521790311742	1	140.042007446289	137.777877807617	1
14591	8.6926574954995	613.684521958852	484.12	1	1	2	2	3	2	4	3	2	7	1.66586640645053	0	484.119995117188	613.684509277344	4
14584	6.12113299162425	589.473720327172	1184.99	1	1	4	5	1	2	4	3	2	7	1.17305781637459	0	1184.98999023438	589.473693847656	4
14581	4.64492782980242	630.856131624102	829.35	2	1	2	3	3	1	2	2	1	6	.890156921063686	1	829.349975585938	630.856140136719	2
14575	6.39740476161622	368.925	577.04	1	2	1	2	2	1	2	2	1	12	1.22600271394113	0	577.039978027344	368.924987792969	2
14572	4.04850610964173	280.462348751754	341.674	2	2	4	5	3	1	2	2	1	3	.775858283597809	1	341.674011230469	280.462341308594	2
14570	4.18820934788236	466.923877421179	970.25	1	1	1	1	1	1	5	2	3	2	.802631100952906	0	970.25	466.923889160156	5
14567	4.58654716429969	97.7710323971008	170.78	2	1	4	5	3	2	1	1	1	10	.878968813226977	1	170.779998779297	97.7710342407227	1
14565	5.11226736463017	236.5822485264	470.154	2	1	4	5	3	2	2	2	1	2	.979718166503166	1	470.153991699219	236.582244873047	2
14564	5.3536923302183	295.408634111104	209.42	1	1	4	5	1	2	2	2	1	9	1.0259850003293	0	209.419998168945	295.408630371094	2
14560	5.32230608321285	255.298484477139	207	2	2	3	1	2	2	3	1	3	11	1.01997012000783	1	207	255.298477172852	3
14559	4.07964523197673	299.619619551887	551.99	1	2	1	3	3	1	2	2	1	4	.781825804790389	0	551.989990234375	299.61962890625	2
14552	5.70014104246817	553.33188743225	516.86	2	1	2	3	3	2	1	1	1	6	1.09237865170621	1	516.859985351563	553.331909179688	1
14549	6.18660842566848	680.520910315746	446.75	1	1	2	3	1	2	3	3	1	9	1.18560557016318	0	446.75	680.520935058594	3
14548	6.00688393976938	540.433135189175	1069.86	1	1	1	1	3	1	4	2	3	8	1.1511630554741	0	1069.85998535156	540.43310546875	4
14546	3.86555492790112	139.708035854251	181.81	2	1	4	5	1	1	1	1	1	1	.740797402867159	1	181.809997558594	139.708038330078	1
14544	3.28186815972495	854.59939577497	571.077	2	1	4	5	3	1	2	2	1	11	.628939299692406	1	571.077026367188	854.599426269531	2
14542	2.43548938254018	415.746052511592	460.04	2	1	2	2	1	2	3	1	3	11	.466738732975638	1	460.040008544922	415.746063232422	3
14536	3.62479926418913	238.563171891621	355.164	2	2	4	5	3	1	2	2	1	8	.6946588344779	1	355.164001464844	238.563171386719	2
14533	5.38664876276291	462.138563080861	405.695	1	1	1	2	2	2	3	2	2	3	1.03230079200531	0	405.695007324219	462.138549804688	3
14532	4.4554913540332	447.006531928484	815.315	1	1	1	1	3	1	4	2	3	8	.853853194464116	0	815.315002441406	447.006530761719	4
14532	4.5878060436182	1175	1184.99	1	1	1	3	3	1	4	4	1	2	.87921006565957	0	1184.98999023438	1175	4
14530	6.11368061989068	124.87	228.105	2	1	4	5	2	1	1	1	1	7	1.17162963911973	1	228.104995727539	124.870002746582	1
14530	3.81521957868357	341.345946482602	643.895	1	1	1	2	3	2	1	1	1	5	.731151104555982	0	643.89501953125	341.345947265625	1
